sku	price	quantity	handling-time	merchant_shipping_group_name
SHEST504	20.71115294117648	95	4	3-5 15$
SHEST505	0	0	4	3-5
SHEST506	22.049082352941184	95	4	3-5 15$
SHEST507	0	0	4	3-5
SHEST508	23.899058823529415	95	4	3-5 15$
SHEST509	20.810258823529416	2	4	2-4 15$
SHEST511	19.934823529411766	95	4	2-4 15$
SHEST512	20.6616	95	4	3-5 15$
SHEST513	24.378070588235303	95	4	3-5 15$
SHEST514	20.612047058823535	95	4	2-4 15$
SHEST515	20.59552941176471	95	4	3-5 15$
SHEST516	20.529458823529417	95	4	3-5 15$
SHEST517	20.31472941176471	95	4	2-4 15$
SHEST518	17.42414117647059	95	4	3-5 15$
SHEST519	20.23214117647059	95	4	3-5 15$
SHEST520	20.1660705882353	1	4	3-5 15$
SHEST521	20.149552941176474	95	4	2-4 15$
SHEST522	20.033929411764717	95	4	3-5 15$
SHEST523	20.413835294117654	95	4	2-4 15$
SHEST524	19.819200000000002	95	4	3-5 15$
SHEST525	19.819200000000002		4	3-5 15$
SHEST526	20.64508235294118	95	4	3-5 15$
SHEST527	19.224564705882358	95	4	2-4 15$
SHEST528	23.486117647058826	2	4	2-4 15$
SHEST530	19.687058823529412	95	4	3-5 15$
SHEST531	19.687058823529412	1	4	3-5 15$
SHEST532	19.687058823529412	95	4	3-5 15$
SHEST533	24.113788235294123	4	4	3-5 15$
SHEST534	0	0	4	3-5
SHEST535	21.239717647058832	95	4	2-4 15$
SHEST536	20.10000000000001	95	4	3-5 15$
SHEST537	18.71251764705883	95	4	3-5 15$
SHEST538	19.12545882352942	95	4	3-5 15$
SHEST539	21.52051764705883	95	4	3-5 15$
SHEST568	107.2569411764706	95	4	3-5 49$
SHEST572	114.52470588235295	95	4	3-5 49$
SHEST625	99.60927058823532	3	4	3-5 49$
SHEST635	97.7758117647059	95	4	3-5 49$
SHEST650	0	0	4	3-5
SHEST658	90.72277647058826	2	4	3-5 49$
SHEST663	94.17496470588239	95	4	3-5 49$
SHEST683	82.49698823529414	3	4	3-5 49$
SHEST686	86.77505882352943	4	4	3-5 49$
SHEST693	79.8872	95	4	3-5 49$
SHEST703	0	0	4	3-5
SHEST764	0	0	4	3-5
SHEST788	58.31515294117649	95	4	3-5 49$
SHEST818	55.68884705882354		4	3-5 49$
SHEST820	0	0	4	3-5
SHEST890	58.56277647058825	95	4	3-5 25$
SHEST928	0	0	4	3-5
SHEST970	57.25788235294118	95	4	3-5 25$
SHEST974	0	0	4	3-5
SHEST979	26.119764705882353		4	3-5 15$
SHEST984	55.25924705882355	95	4	3-5 25$
SHEST997	53.42578823529412	95	4	2-4 25$
SHEST1036	49.82494117647059	95	4	2-4 25$
SHEST1101	40.65764705882353	95	4	3-5 25$
